services,language_code,english,indigenous_language,pronunciation
2,1112,Eye,Poni,
2,1112,Father,Abe,
2,1112,Fire,Ur,
2,1112,Fish,Lar,
2,1112,Fish Hook,Mekek,
2,1112,Foot,Teter,
2,1112,Frog,Gowai,
2,1112,Girl,Neur,
2,1112,Ground,Geseb,
2,1112,Hand,Tag,
2,1112,Head,Kirim,
2,1112,House,Meta,
2,1112,Island,Kaur,
2,1112,Kangaroo,Usar,
2,1112,Knee,Teter-au-kok,
2,1112,Lizard,Zirar,
2,1112,Mat,Papek,
2,1112,Moon,Meb,
2,1112,Mother,Amau,
2,1112,No,Nole,
2,1112,Octopus,Arti,
2,1112,One,Netat,
2,1112,People,Gaire-le,
2,1112,Rain,Irmer,
2,1112,Sea,Gur,
2,1112,Shark,Beizam,
2,1112,Sky,Kotor,
2,1112,Snake,Tabu,
2,1112,Spear,Baur,
2,1112,Spider,Seber,
2,1112,Stingray,At,
2,1112,Stone,Baker,
2,1112,Sun,Lim,
2,1112,Today,Abele-gereger,
2,1112,Tomorrow,Iobaru,
2,1112,Turtle,Nam,
2,1112,Two,Neis,
2,1112,Water,Ni,
2,1112,Wind,Wag,
2,1112,Yam,Lewer,
2,1112,Yes,Aa,
2,780,Anchor,Angka,
2,780,Axe,Tamyok,
2,780,Book,Buk,
2,780,Child,Piknini,
2,780,Church,Soes,
2,780,Cloud,Klaud,
2,780,Coconut Tree,Koknat tri,
2,780,Crocodile,Algida,
2,780,Drum,Dram,
2,780,Dugong,Dugon,
2,780,Ear,Talinga,
2,780,Eye,Ai,
2,780,Father,Baba,
2,780,Fire,Paya,
2,780,Fish,Pis,
2,780,Fish Hook,Pis uk,
2,780,Foot,Thraik,
2,780,Frog,Prog,
2,780,Girl,Gel,
2,780,Ground,Graun,
2,780,Hand,An,
2,780,Head,Ed,
2,780,House,Aus,
2,780,Island,Ailan,
2,780,Kangaroo,Kangru,
2,780,Knee,Ni,
2,780,Lizard,Gwana,
2,780,Mat,Mat,
2,780,Moon,Mun,
2,780,Mother,Ama,
2,780,No,Launga,
2,780,Octopus,Sugu,
2,780,One,Wan,
2,780,People,Pipel,
2,780,Rain,Ren,
2,780,Sea,Solwata,
2,780,Shark,Sak,
2,780,Sky,Skai,
2,780,Snake,Sneik,
2,780,Spear,Spiya,
2,780,Spider,Spaida,
2,780,Stingray,Thingari,
2,780,Stone,Ston,
2,780,Sun,San,
2,780,Today,Tidei,
2,780,Tomorrow,Thumara,
2,780,Turtle,Totol,
2,780,Two,Tu,
2,780,Water,Wata,
2,780,Wind,Win,
2,780,Yam,Yam,
2,780,Yes,Wa,
2,323,Arm,Yamma,Yah-mah
2,323,Blood,Gardin,Gar-din
2,323,Bone,Dyrrbin,Deer-bin
2,323,Ear,Binung,Bin-ung
2,323,Eye,Mill,Mill
2,323,Finger,Gillen,Gill-een
2,323,Foot,Dinung,Din-nung
2,323,Forehead,Yilim,Yill-im
2,323,Hair,Kabui,Kar-boo-ee
2,323,Hand,Marra,Mah-rah
2,323,Head,Magul,Mah-gool
2,323,Knee,Buhn,Boon
2,323,Leg,Dharang,Dah-rang
2,323,Mouth,Dhambur,Dam-boor
2,323,Neck,Durdur,Door-door
2,323,Nose,Muro,Moo-row
2,323,Shin,Buyu,Boo-yoo
2,323,Shoulder,Giga,Gee-gah
2,323,Teeth,Deea,Dee-ah
2,260,Ankle,Wulu,Woo-loo
2,260,Arm,Gining,Geen-inn
2,260,Armpit,Wamgir,Warm-gear
2,260,Back,Burum,Boo-rum
2,260,Backside,Mundi,Moon-dee
2,260,Beard,Yikka,Yick-ah
2,260,Blood,Dir,De-ah
2,260,Bone,Gira,Gear-ah
2,260,Calf,Buyu,Boo-yoo
2,260,Cheek,Wanga,Won-ah
2,260,Chin,Yikka,Yick-ah
2,260,Ear,Binang,Bin-ung
2,260,Elbow,Kulumur,Kool-oo-moor
2,260,Eye,Ma,Mah
2,260,Eyebrow,Dhipin,Dee-pin
2,260,Eyelash,Buel-buel,Bewl-bewl
2,260,Face,Ngwar,Ing-wah
2,260,Finger,Na,Nah
2,260,Fingernail,Gillin,Gill-lin
2,260,Foot,Djinang,Gin-ung
2,260,Hair,Gam,Gam
2,260,Hand,Na,Nah
2,260,Head,Mau,Maw
2,260,Heart,Du,Doo
2,260,Intestines,Gunang,Goon-un
2,260,Knee,Bundur,Boon-door
2,260,Leg,Djangar,Jun-gar
2,260,Lips,Dhambur,Dum-burr
2,260,Mouth,Dhambur,Dum-burr
2,260,Neck,Wanda,Wun-dah
2,260,Nose,Mi,Mee
2,260,Shoulder,Wali,Wah-lee
2,260,Skin,Dumee,Doo-mee
2,260,Stomach,Mu,Moo
2,260,Teeth,Diang,Dee-ung
2,260,Thigh,Djungor,Jung-or
2,260,Toe/Toes,Djinang,Gin-ung
2,260,Tongue,Dunam,Doo-nam
2,999,Arm,Garrgal,
2,999,Belly,Yulgu,
2,999,Belly button,Djuulndjuru?,
2,999,Blood,Gurrmal,
2,999,Body,Gambara,
2,999,Bone,Djulgil,
2,999,Bottom,Djulu,
2,999,Chest,Djindi,
2,999,Chin,Ngangul,
2,999,Ears,Bina,
2,999,Elbow,Mugay,
2,999,Eyebrow,Buyin,
2,999,Eyes,Gayga,
2,999,Face,Nga?i,
2,999,Feet/Foot,Biga?,
2,999,Forehead,Rimbi,
2,999,Hair,Murray,
2,999,Hand,Mala,
2,999,Head,Mugal,
2,999,Heart,Rulgu,
2,999,Hip,Bilu,
2,999,Kidney,Djagarri,
2,999,Knee,Bunggu,
2,999,Leg,Djarrawaga,
2,999,Lip,Mulin,
2,999,Liver,Giba,
2,999,Mouth,Ngayilnggarra,
2,999,Neck,Wudu,
2,999,Nostril,Binda,
2,999,Shoulders,Yunggu,
2,999,Skin,Yirra,
2,999,Teeth,Djarra,
2,999,Thigh,Gumbi,
2,999,Thumb,?igi?,
2,999,Toes,Djala?,
2,248,Ankle,Wulu,Woo-loo
2,248,Arm,Gungil,Gun-gill
2,248,Belly,Muhng,Mun
2,248,Blood,Gumera,Goo-mer-ah
2,248,Body,Biyu,Bee-you
2,248,Bone,Darigan,Dah-ree-gan
2,248,Bottom,Gumu,Goo-moo
2,248,Chest,Tumerrigunn,Tum-air-ee-gun
2,248,Chin,Yarany,Yah-run
2,248,Ears,Binang,Bin-ung
2,248,Elbow,Kuruhny,Koo-run
2,248,Eyebrow,Ngihlim,Nill-im
2,248,Eyes,Mih,Mee
2,248,Face,Nugal,Noo-gull
2,248,Feet/foot,Jinang,Gee-nung
2,248,Finger/s,Danggan,Dung-gan
2,248,Forehead,Ngihr,Near
2,248,Hair,Guhr,Gurr
2,248,Hand,Danggan,Dung-gan
2,248,Head,Bawur,Bah-war
2,248,Heart,Dulgu,Dull-goo
2,248,Hip,Wayan,Way-un
2,248,Kidney,Munggar,Mung-gah
2,248,Knee,Kindil,Kin-dill
2,248,Leg,Jarang,Jah-rung
2,248,Lip,Jehng,Jen
2,248,Liver,Yilngahn,Yill-narn
2,248,Mouth,Jeyang,Jee-young
2,248,Neck,Jalayn,Jay-lun
2,248,Nose,Muru,Moo-roo
2,248,Shoulders,Walagan,Wal-ah-gun
2,248,Teeth,Jirang,Gee-rung
2,248,Thigh,Jarang,Jah-rung
2,248,Thumb,Danggan,Dung-gan
2,248,Tongue,Jurgung,Jur-gun
2,301,Arm,Yamma,Yah-mah
2,301,Belly/Stomach,Dhiggeri,Dig-ah-ree
2,301,Bone,Dyrrbin,Deer-bin
2,301,Ear,Binung,Bin-ung
2,301,Eye/Eyes,Mil,Meel
2,301,Finger,Killen,Kill-een
2,301,Foot,Dinna,Din-nah
2,301,Forehead,Midgeree,Midge-ah-ree
2,301,Hand,Marra,Mah-rah
2,301,Head,Mugil,Moo-gill
2,301,Knee,Buhn,Boon
2,301,Leg,Mungurra,Mun-gah-rah
2,301,Mouth,Dhamburu,Dam-boo-roo
2,301,Neck,Ngullun,Noo-lun
2,301,Nose,Muru,Moo-roo
2,301,Shin,Buyu,Boo-yoo
2,301,Shoulder,Giga,Gee-gah
2,301,Teeth,Deear,Dee-ah
2,255,Arm,Waiyebba,Way-yeb-bah
2,255,Belly/Stomach,Dhiggeri,Dig-ah-ree
2,255,Bone,Dyrrbin,Deer-bin
2,255,Ear,Binung,Bin-ung
2,255,Eye/Eyes,Mil,Meel
2,255,Finger,Killen,Kill-een
2,255,Foot,Dinna,Din-nah
2,255,Forehead,Yilam,Yill-am
2,255,Hand,Marra,Mah-rah
2,255,Head,Gahm,Garm
2,255,Knee,Buhn,Boon
2,255,Leg,Dharang,Dah-rang
2,255,Mouth,Dhambur,Dam-boor
2,255,Neck,Nggurrun,Gnaw-run
2,255,Nose,Muru,Moo-roo
2,255,Shin,Buyu,Boo-yoo
2,255,Shoulder,Giga,Gee-gah
2,255,Teeth,Deear,Dee-ah
2,1191,Ankle,Baranggal,Bah-run-gull
2,1191,Arm,Bungun,Boong-un
2,1191,Armpit,Yuuwirr,You-wid
2,1191,Back,Bawa,Bar-wah
2,1191,Backside,Murru,Moo-roo
2,1191,Beard,Yarray,Yah-ray
2,1191,Blood,Guway,Gwoy
2,1191,Bone,Buya,Boo-yah
2,1191,Calf,Buyu,Boo-yoo
2,1191,Cheek,Dhaal,Darl
2,1191,Chin,Dhaal,Darl
2,1191,Ear,Bina,Bin-ah
2,1191,Elbow,Dhiin,Din
2,1191,Eye,Mil,Mill
2,1191,Eyebrow,Ngudjiin,Nud-jean
2,1191,Eyelash,Ngudjiin,Nud-jean
2,1191,Face,Ngulu,Noo-loo
2,1191,Finger / Fingers,Bambugal,Bum-bah-gull
2,1191,Fingernail,Yulu,You-loo
2,1191,Foot,Dhina,Din-ah
2,1191,Hair,Dhaygal,Dah-gull
2,1191,Hand,Maa,Mah
2,1191,Head,Dhaygal,Dah-gull
2,1191,Heart,Gii,Gee
2,1191,Knee,Dhinbirr,Din-beer
2,1191,Leg,Buyu,Boo-yoo
2,1191,Lips,Yili,Yill-ee
2,1191,Mouth,Ngaay,Nah
2,1191,Neck,Nhun,Noon
2,1191,Nose,Muyu,Moo-yoo
2,1191,Shoulder,Walarr,Wah-lah
2,1191,Skin,Yulay,You-lay
2,1191,Stomach,Mubil,Moo-bill
2,1191,Thigh,Mabun,Mah-boon
2,1191,Toe / Toes,Bambugal,Bum-bah-gull
2,1191,Tongue,Dhalay,Dah-lay
2,1191,Tooth / Teeth,Yira,Yee-rah
2,1191,Waist,Bagurr,Bah-gurr
2,288,Ankle,Bumugul,Boom-uh-gull
2,288,Beard,Ngunga,Noong-ah
2,288,Blood,Gooma,Goo-mah
2,288,Bone,Bulbun,Bull-boon
2,288,Ear,Walloo,Wal-loo
2,288,Eye,Dilli,Dill-ee
2,288,Foot,Dinna,Din-ah
2,288,Hair,Kowno,Cow-no
2,288,Hand,Mulla,Mull-ah
2,288,Head,Kutta,Koot-tah
2,288,Knee,Buhn,Boon
2,288,Leg,Toomo,Too-mow
2,288,Nose,Bootan,Boo-tun
2,288,Shoulder,Wingara,Win-ah-rah
2,288,Skin,Bitty,Bit-tee
2,288,Stomach,Bunna,Boon-ah
2,288,Teeth,Yirra,Year-ah
2,288,Tongue,Tallia,Tar-lee-ah
