services,language_code,english,indigenous_language,pronunciation
2,1064,Nostril,koerab,
2,1064,Shoulders,thabay,
2,1064,Skin,goengaw,
2,1064,Teeth,dhang (sg) dhangal (pl),
2,1064,Thigh,dokap,
2,1064,Thumb,kuyku dhimur,
2,1064,Toes,sanaw dhimur(sg) sanaw dhimural (pl),
2,1064,Tongue,noey,
2,1064,Wrist,pertha,
2,1163,Arm,daki,
2,1163,Belly,waral,
2,1163,Blood,ju-ju,
2,1163,Bottom/bum,bun-ni,
2,1163,Chest,du-mu,
2,1163,Chin,bari,
2,1163,Ear,milka,
2,1163,Elbow,juril,
2,1163,Eyebrow / eyelash,nyinki,
2,1163,Eyes,myil,
2,1163,Face,walu,
2,1163,Foot,jina,
2,1163,Finger / hand,mara,
2,1163,Forehead,munju,
2,1163,Hair,malka-bu,
2,1163,Head,dukul,
2,1163,Heart,wudal,
2,1163,Hip,waba,
2,1163,Kidney,ngun-gum-urr,
2,1163,Lip,yimbi,
2,1163,Liver,jiba,
2,1163,Mouth,ngan-dal,
2,1163,Neck,jakay,
2,1163,Shoulder,binda,
2,1163,Skin,yulban,
2,1163,Teeth,ditha,
2,1163,Thumb,mula,
2,1163,Toes,durra,
2,1163,Tongue,nyabil,
2,1163,Wrist,jinbar,
2,1054,Arm,d'aga,
2,1054,Belly,ra,
2,1054,Body,mboa,
2,1054,Chest,oni,
2,1054,Chin,engau,
2,1054,Ear,wo'a,
2,1054,Elbow,muto,
2,1054,Eyebrow,b'ada,
2,1054,Eyes,adae,
2,1054,Foot / toes,goa,
2,1054,Finger / hand,a,
2,1054,Forehead,bai,
2,1054,Hair,nga,
2,1054,Head,troka,
2,1054,Leg,tena,
2,1054,Lip,enga,
2,1054,Liver,koi-itichi,
2,1054,Shoulder,daru,
2,1054,Skin,kaie,
2,1054,Teeth / small bone,abau,
2,1054,Tongue,puduna,
2,1155,One,Ipima,
2,281,One,Warba,
2,275,One,Webben,
2,498,One,Wangarra,
2,193,One,Bardja,
2,290,One,Warba,
2,290,One,Warba,
2,1089,One,Yunegal,
2,1089,One,Yoongool,
2,263,One,Garalin,
2,279,One,Werpa,
2,252,One,Garu,
2,182,One,Maal,
2,362,One,Jathara,
2,618,One,Yingamali,
2,277,One,Wungara,
2,201,One,Yabul,
